id,name,now_cost,position,team,total_points,dreamteam_count,transfers_in_event,clean_sheets,goals_conceded_per_90,saves_per_90,influence_rank_type,points_per_game,selected_rank,corners_and_indirect_freekicks_order,event_points,mng_draw,penalties_order,web_name,team_join_date,influence_rank,bonus,mng_underdog_win,news,ict_index,expected_goals_per_90,value_form,expected_assists,transfers_out_event,expected_goals,creativity_rank_type,expected_assists_per_90,points_per_game_rank_type,form_rank_type,status,cost_change_start_fall,threat_rank,yellow_cards,bps,can_select,expected_goal_involvements_per_90,minutes,starts_per_90,penalties_saved,opta_code,saves,form,cost_change_start,threat,points_per_game_rank,cost_change_event_fall,direct_freekicks_order,penalties_missed,transfers_out,region,mng_underdog_draw,cost_change_event,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,ict_index_rank,expected_goals_conceded_per_90,mng_win,ep_this,value_season,mng_loss,clean_sheets_per_90,ep_next,news_added,goals_scored,starts,mng_clean_sheets,form_rank,assists,mng_goals_scored,expected_goals_conceded,now_cost_rank,now_cost_rank_type,red_cards,in_dreamteam,transfers_in,goals_conceded,own_goals,selected_rank_type,influence,expected_goal_involvements,threat_rank_type,creativity,creativity_rank,ict_index_rank_type
512,Michail Antonio,53,FWD,West Ham,42,1,28,4,1.94,0.0,35,3.0,213,,0,0,,Antonio,2015-09-01,365,3,0,Leg injury - Unknown return date,39.5,0.24,0.0,0.91,1086,2.20,23,0.1,20,68,i,2,115,1,111,True,0.34,834,1.19,0,p57531,0,0.0,-2,194.0,130,0,,0,476907,107.0,0,0,0.9,0.0,0.0,246,1.92,0,0.0,7.9,0,0.43,0.0,2024-12-09T17:00:08.418178Z,1,11,0,731,4,0,17.83,145,42,0,False,385436,18,0,37,72.0,3.11,31,139.5,189,31
513,Alphonse Areola,42,GKP,West Ham,24,0,3205,1,2.15,3.31,20,1.8,93,,2,0,,Areola,2022-07-01,153,0,0,,30.2,0.0,0.3,0.00,2490,0.00,58,0.0,33,17,a,3,571,0,90,True,0.0,1089,0.99,0,p84182,40,1.2,-3,0.0,299,0,,0,834737,73.0,0,0,3.7,100.0,100.0,290,1.64,0,0.7,5.7,0,0.08,1.2,2025-01-16T22:00:08.950625Z,0,12,0,242,0,0,19.80,591,35,0,False,290414,26,1,14,301.2,0.00,45,0.0,604,20
514,Jarrod Bowen,73,MID,West Ham,100,2,9613,4,1.8,0.0,15,5.0,114,2.0,10,0,4.0,Bowen,2020-01-31,40,10,0,,171.2,0.26,0.3,4.70,3005,5.00,19,0.24,8,61,a,2,11,1,385,True,0.5,1746,1.03,0,p178186,0,2.5,-2,661.0,12,0,,0,1651876,241.0,0,0,2.7,100.0,75.0,13,1.77,0,1.5,13.7,0,0.21,2.5,2024-12-30T09:30:07.187593Z,6,20,0,153,6,0,34.43,22,13,0,False,1159322,35,0,33,505.6,9.70,5,548.2,24,10
516,Vladimír Coufal,41,DEF,West Ham,18,0,661,1,1.85,0.0,101,1.2,283,,2,0,,Coufal,2020-10-02,275,1,0,,28.7,0.03,0.3,0.80,312,0.27,63,0.1,127,68,a,4,303,2,58,True,0.13,729,0.99,0,p164555,0,1.2,-4,35.0,389,0,,0,79094,57.0,0,0,0.4,,,299,1.72,0,0.7,4.4,0,0.12,1.2,,0,8,0,240,0,0,13.93,613,159,0,False,33082,15,1,103,151.0,1.06,100,104.5,234,95
517,Aaron Cresswell,39,DEF,West Ham,9,0,2705,0,1.24,0.0,141,0.9,161,,1,0,,Cresswell,2014-07-03,393,0,0,,12.4,0.03,0.3,0.50,1482,0.10,74,0.16,166,74,a,1,405,2,31,True,0.19,290,0.93,0,p55459,0,1.0,-1,5.0,489,0,2.0,0,224215,241.0,0,0,1.6,100.0,100.0,376,1.49,0,0.5,2.3,0,0.0,1.0,2024-08-30T04:00:05.718151Z,0,3,0,265,0,0,4.79,713,233,0,False,145103,4,0,63,40.4,0.60,141,78.8,263,127
519,George Earthy,45,MID,West Ham,0,0,0,0,0.0,0.0,270,0.0,622,,0,0,,Earthy,,677,0,0,Loaned to Bristol City,0.0,0.0,0.0,0.00,18,0.00,271,0.0,271,228,u,0,655,0,0,False,0.0,0,0.0,0,p490885,0,0.0,0,0.0,681,0,,0,7939,,0,0,0.0,0.0,0.0,677,0.0,0,0.0,0.0,0,0.0,0.0,2024-08-16T11:57:26.531525Z,0,0,0,612,0,0,0.00,416,256,0,False,0,0,0,252,0.0,0.00,263,0.0,672,270
520,Emerson Palmieri dos Santos,44,DEF,West Ham,57,2,1114,4,1.99,0.0,49,2.6,245,3.0,2,0,,Emerson,2022-08-23,131,2,0,,76.4,0.09,0.8,1.88,699,1.58,17,0.1,50,17,a,1,161,5,155,True,0.19,1630,1.16,0,p109533,0,3.5,-1,147.0,165,0,1.0,0,144777,106.0,0,0,0.6,100.0,100.0,117,1.69,0,3.0,13.0,0,0.22,3.5,2025-01-04T22:00:07.811285Z,2,21,0,88,1,0,30.56,488,86,0,False,130397,36,0,92,341.2,3.46,27,275.9,90,26
521,Łukasz Fabiański,41,GKP,West Ham,36,0,3597,2,1.68,3.95,17,2.8,26,,0,0,,Fabianski,2018-06-20,114,2,0,,36.1,0.0,0.2,0.00,10127,0.00,13,0.0,22,20,a,-1,566,2,132,True,0.0,1070,1.01,0,p37096,47,0.8,1,0.0,142,0,,0,1193270,172.0,0,0,16.4,100.0,100.0,262,1.85,0,0.3,8.8,0,0.17,0.8,2024-12-27T02:00:09.942808Z,0,12,0,294,0,0,21.99,609,38,0,False,1651852,20,0,4,362.2,0.00,41,0.3,472,18
522,Wes Foderingham,43,GKP,West Ham,0,0,83,0,0.0,0.0,74,0.0,427,,0,0,,Foderingham,2024-07-01,621,0,0,,0.0,0.0,0.0,0.00,134,0.00,63,0.0,74,71,a,2,581,0,0,True,0.0,0,0.0,0,p82143,0,0.0,-2,0.0,627,0,,0,15010,241.0,0,0,0.1,,,622,0.0,0,-0.5,0.0,0,0.0,0.0,,0,0,0,531,0,0,0.00,558,29,0,False,6945,0,0,61,0.0,0.00,51,0.0,612,74
523,Danny Ings,50,FWD,West Ham,31,0,1859,0,1.36,0.0,33,2.2,179,,1,0,,Ings,2023-01-20,339,4,0,,33.1,0.75,0.4,0.06,2810,2.21,30,0.02,29,22,a,0,148,0,107,True,0.77,264,0.34,0,p84939,0,1.8,0,157.0,243,0,,0,405089,241.0,0,0,1.3,100.0,100.0,274,1.66,0,1.3,6.2,0,0.0,1.8,2024-12-04T09:30:08.866937Z,1,1,0,210,3,0,4.87,194,46,0,False,400882,4,0,30,96.8,2.27,34,75.7,269,33
