id,name,now_cost,position,team,total_points,assists,penalties_saved,goals_scored,cost_change_start_fall,expected_goal_involvements,goals_conceded,creativity_rank,in_dreamteam,chance_of_playing_next_round,influence_rank,threat,news,region,selected_rank,expected_assists,clean_sheets_per_90,value_form,clean_sheets,ep_next,transfers_out_event,chance_of_playing_this_round,ict_index_rank_type,cost_change_start,points_per_game_rank_type,goals_conceded_per_90,ict_index_rank,expected_goals_conceded,saves,creativity,ep_this,ict_index,expected_goal_involvements_per_90,expected_assists_per_90,points_per_game,expected_goals_per_90,penalties_missed,selected_by_percent,transfers_in,minutes,status,transfers_in_event,expected_goals,threat_rank,now_cost_rank,yellow_cards,cost_change_event_fall,red_cards,penalties_order,bps,web_name,form_rank,transfers_out,can_select,creativity_rank_type,news_added,dreamteam_count,selected_rank_type,points_per_game_rank,influence_rank_type,starts_per_90,saves_per_90,cost_change_event,corners_and_indirect_freekicks_order,form_rank_type,influence,bonus,expected_goals_conceded_per_90,now_cost_rank_type,threat_rank_type,event_points,form,value_season,own_goals,direct_freekicks_order,starts
349,Jack Grealish,6.4,MID,Man City,21,1,0,0,1,1.86,5,47,False,100.0,260,161.0,,241.0,341,1.22,0.19,0.2,1,2.5,963,100.0,66,-1,123,0.97,111,7.19,0,256.0,2.5,52.0,0.36,0.24,1.9,0.12,0,0.2,39011,463,a,540,0.64,95,49,2,0,0,,119,Grealish,219,44310,True,38,2024-10-24T16:00:07.517717Z,0,114,268,115,0.97,0.0,0,,110,102.6,3,1.4,28,60,1,1.5,3.3,0,,5
350,Joško Gvardiol,6.1,DEF,Man City,57,0,0,3,-1,3.44,18,36,False,100.0,22,229.0,,97.0,10,1.83,0.22,0.3,3,2.8,137010,100.0,2,1,6,1.34,27,17.2,0,297.4,2.8,90.1,0.26,0.14,4.1,0.12,0,25.5,2398291,1212,a,12111,1.61,52,77,0,1,0,,229,Gvardiol,198,2991354,True,6,2024-10-31T02:30:07.426838Z,2,3,44,6,0.97,0.0,-1,,58,373.4,7,1.28,6,1,1,1.8,9.3,0,,13
351,Erling Haaland,14.9,FWD,Man City,98,1,0,13,1,13.71,21,126,True,100.0,4,908.0,,161.0,4,0.86,0.2,0.3,3,5.0,151430,100.0,1,-1,1,1.4,4,21.56,0,142.1,5.0,158.0,0.92,0.06,6.5,0.86,0,42.1,2826825,1349,a,8210,12.85,1,1,2,1,0,1.0,438,Haaland,71,4045895,True,11,2024-09-13T15:00:06.985607Z,3,1,4,1,1.0,0.0,-1,,14,527.4,15,1.44,1,1,7,4.0,6.6,0,3.0,15
352,Julián Álvarez,7.0,FWD,Man City,0,0,0,0,0,0.0,0,692,False,0.0,692,0.0,Transferred to Atletico Madrid,,448,0.0,0.0,0.0,0,0.0,36,0.0,74,0,74,0.0,692,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1,0,0,u,0,0.0,692,28,0,0,0,,0,J.Alvarez,690,29034,False,74,2024-08-13T07:07:51.627006Z,0,62,691,74,0.0,0.0,0,,74,0.0,0,0.0,12,74,0,0.0,0.0,0,,0
353,João Cavaco Cancelo,5.3,DEF,Man City,0,0,0,0,2,0.0,0,679,False,0.0,681,0.0,Permanent transfer to Saudi club Al-Hilal,,350,0.0,0.0,0.0,0,0.0,105,0.0,231,-2,230,0.0,681,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,4654,0,u,0,0.0,676,146,0,0,0,,0,João Cancelo,666,77234,False,231,2024-08-29T11:05:25.670531Z,0,126,680,231,0.0,0.0,0,,228,0.0,0,0.0,15,231,0,0.0,0.0,0,,0
354,Mateo Kovačić,5.4,MID,Man City,45,1,0,3,1,2.24,13,53,False,75.0,98,104.0,Unknown - 75% chance of playing,97.0,187,1.27,0.21,0.0,2,0.8,8703,0.0,53,-1,16,1.33,87,13.28,0,243.7,0.0,59.3,0.23,0.13,4.1,0.1,0,1.3,674888,878,d,59,0.98,140,126,3,0,0,,225,Kovačić,669,674905,True,44,2024-11-22T17:30:09.194248Z,2,53,41,33,1.03,0.0,0,,301,245.4,8,1.36,77,89,0,0.0,8.3,0,,10
355,Rico Lewis,4.7,DEF,Man City,36,2,0,1,-2,1.59,16,140,False,0.0,173,105.0,Suspended until 21 Dec,241.0,41,0.6,0.18,0.3,2,0.0,137475,,42,2,45,1.41,157,16.64,0,129.8,2.5,41.2,0.14,0.05,2.6,0.09,0,9.6,2338742,1022,s,2695,0.99,139,337,2,0,1,,131,Lewis,207,1491671,True,27,2024-12-07T21:30:08.281236Z,0,14,159,68,1.06,0.0,0,,62,177.0,1,1.47,45,20,4,1.5,7.7,0,,12
356,Matheus Luiz Nunes,4.9,MID,Man City,26,3,0,0,1,1.86,7,74,False,100.0,226,81.0,,173.0,372,1.69,0.21,0.4,1,3.0,964,100.0,90,-1,83,1.44,156,8.35,0,202.7,3.0,41.3,0.39,0.35,2.4,0.04,0,0.2,68592,437,a,1645,0.17,174,277,1,0,0,,110,Matheus N.,167,56671,True,58,2024-11-11T16:00:06.757704Z,0,129,194,95,1.03,0.0,0,,80,128.4,2,1.72,181,106,7,2.0,5.3,0,,5
357,James McAtee,4.6,MID,Man City,2,0,0,0,4,0.02,0,422,False,,467,2.0,,241.0,531,0.02,0.0,0.0,0,1.2,160,,224,-4,193,0.0,465,0.0,0,1.0,1.2,0.3,0.9,0.9,1.0,0.0,0,0.0,4215,2,a,166,0.0,394,349,0,0,0,,6,McAtee,370,9570,True,216,,0,211,411,223,0.0,0.0,0,,176,0.2,0,0.0,225,208,0,0.2,0.4,0,,0
358,Stefan Ortega Moreno,5.2,GKP,Man City,10,0,0,0,3,0.0,4,678,False,,294,0.0,,80.0,243,0.0,0.33,0.5,1,3.5,1634,,29,-3,12,1.33,359,5.73,9,0.0,3.5,7.5,0.0,0.0,3.3,0.0,0,0.6,14605,270,a,976,0.0,674,159,0,0,0,,48,Ortega Moreno,129,48465,True,70,,0,35,90,29,1.0,3.0,0,,11,75.4,0,1.91,4,68,1,2.5,1.9,0,,3
360,Rodrigo 'Rodri' Hernandez,6.3,MID,Man City,2,0,0,0,2,0.09,0,336,False,0.0,416,0.0,Knee injury - Expected back 01 Jun,200.0,223,0.09,0.0,0.0,0,0.0,588,0.0,200,-2,215,0.0,414,0.04,0,17.1,0.0,2.8,0.12,0.12,1.0,0.0,0,0.9,38964,65,i,55,0.0,688,53,0,0,0,,18,Rodrigo,684,413893,True,191,2024-09-22T22:00:05.633631Z,0,70,440,197,1.38,0.0,0,,310,10.8,0,0.06,31,312,0,0.0,0.3,0,,1
361,Rúben Gato Alves Dias,5.4,DEF,Man City,27,0,0,0,1,1.37,12,158,False,100.0,126,69.0,,173.0,105,0.73,0.27,0.4,3,3.0,8108,100.0,44,-1,70,1.08,161,13.8,0,119.1,3.0,41.0,0.13,0.07,2.2,0.06,0,3.1,321842,996,a,7438,0.64,200,131,3,0,0,,139,Rúben,173,479986,True,36,2024-11-01T17:00:08.011314Z,0,42,221,50,0.99,0.0,0,,48,220.8,1,1.25,13,50,1,2.0,5.0,1,,11
