name,position,team,total_points,appearance_points,goal_points,assist_points,clean_sheet_points,save_points,penalty_save_points,bonus_points,yellow_card_points,red_card_points,own_goal_points,penalty_miss_points,goals_conceded_points
Joe Gomez,DEF,Liverpool,14,12,0,0,4,0,0,0,-1,0,0,0,-1
Jorge Luiz Frello Filho,MID,Arsenal,13,12,0,0,1,0,0,0,-3,0,0,0,0
Jakub Kiwior,DEF,Arsenal,13,4,0,0,4,0,0,0,0,0,0,0,5
Kyle Walker,DEF,Man City,13,18,0,0,0,0,0,0,-3,0,0,0,-2
Conor Bradley,DEF,Liverpool,12,2,0,0,4,0,0,0,-1,0,0,0,7
Lloyd Kelly,DEF,Newcastle,11,8,0,3,0,0,0,0,-2,0,0,0,2
Emil Krafth,DEF,Newcastle,10,4,0,0,4,0,0,0,0,0,0,0,2
Raheem Sterling,MID,Arsenal,9,4,0,3,0,0,0,0,0,0,0,0,0
Myles Lewis-Skelly,MID,Arsenal,9,6,0,0,2,0,0,0,-1,0,0,0,0
Endo Wataru,MID,Liverpool,8,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Almirón Rejala,MID,Newcastle,8,2,0,0,0,0,0,0,0,0,0,0,0
Norberto Murara Neto,GKP,Arsenal,7,4,0,0,0,3,0,0,0,0,0,0,0
Mykhailo Mudryk,MID,Chelsea,7,2,0,0,0,0,0,0,0,0,0,0,0
Renato Palma Veiga,MID,Chelsea,7,2,0,0,1,0,0,0,-2,0,0,0,0
Harvey Elliott,MID,Liverpool,7,0,0,0,0,0,0,0,0,0,0,0,0
William Osula,FWD,Newcastle,6,0,0,0,0,0,0,0,0,0,0,0,0
Benoît Badiashile,DEF,Chelsea,5,4,0,0,0,0,0,0,0,0,0,0,1
Kiernan Dewsbury-Hall,MID,Chelsea,5,0,0,0,0,0,0,0,0,0,0,0,0
Reece James,DEF,Chelsea,5,6,0,0,0,0,0,0,0,0,0,0,-1
Filip Jørgensen,GKP,Chelsea,5,4,0,0,0,2,0,0,0,0,0,0,-1
Jarell Quansah,DEF,Liverpool,4,4,0,0,0,0,0,0,-1,0,0,0,1
James McAtee,MID,Man City,4,0,0,0,0,0,0,0,0,0,0,0,0
Willy Boly,DEF,Nott'm Forest,4,2,0,0,0,0,0,0,-1,0,0,0,3
Ibrahim Sangaré,MID,Nott'm Forest,4,6,0,0,1,0,0,0,-2,0,0,0,0
Callum Wilson,FWD,Newcastle,3,0,0,0,0,0,0,0,-1,0,0,0,0
Harry Toffolo,DEF,Nott'm Forest,3,0,0,0,0,0,0,0,0,0,0,0,3
Marc Guiu Paz,FWD,Chelsea,2,0,0,0,0,0,0,0,0,0,0,0,0
Josh Acheampong,DEF,Chelsea,2,2,0,0,0,0,0,0,0,0,0,0,0
Rodrigo 'Rodri' Hernandez,MID,Man City,2,2,0,0,0,0,0,0,0,0,0,0,0
Lewis Miley,MID,Newcastle,2,0,0,0,0,0,0,0,0,0,0,0,0
Eric da Silva Moreira,MID,Nott'm Forest,2,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu Takehiro,DEF,Arsenal,1,0,0,0,0,0,0,0,0,0,0,0,1
Federico Chiesa,MID,Liverpool,1,0,0,0,0,0,0,0,0,0,0,0,0
Vítezslav Jaros,GKP,Liverpool,1,0,0,0,0,0,0,0,0,0,0,0,1
Jahmai Simpson-Pusey,DEF,Man City,1,2,0,0,0,0,0,0,-1,0,0,0,0
Sven Botman,DEF,Newcastle,1,2,0,0,0,0,0,0,-1,0,0,0,0
Matt Targett,DEF,Newcastle,1,0,0,0,0,0,0,0,0,0,0,0,1
Danilo dos Santos de Oliveira,MID,Nott'm Forest,1,1,0,0,0,0,0,0,0,0,0,0,0
Fábio Ferreira Vieira,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Hein,GKP,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Tierney,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Salah-Eddine Oulad M'hand,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Setford,GKP,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldini Kacurri,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayden Heaven,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Ismeal Kabia,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Nichols,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Butler-Oyedeji,FWD,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrey Nascimento dos Santos,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Ângelo Gabriel Borges Damaceno,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Bergström,GKP,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Bettinelli,GKP,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesare Casadei,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Chilwell,DEF,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Carney Chukwuemeka,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
David Datro Fofana,FWD,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Deivid Washington de Souza Eugênio,FWD,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Gallagher,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfie Gilchrist,DEF,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Omari Kellyman,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Romelu Lukaku Bolingoli,FWD,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Malang Sarr,DEF,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Đorđe Petrović,GKP,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Caleb Wiley,DEF,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Rak-Sakyi,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrique George,MID,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Bajčetić Maquieira,MID,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Clark,MID,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Doak,MID,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
James McConnell,MID,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Morton,MID,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Phillips,DEF,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhys Williams,DEF,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Davies,GKP,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Treymaurice Nyoni,MID,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Amara Nallo,DEF,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayden Danns,FWD,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscar Bobb,MID,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Carson,GKP,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
Julián Álvarez,FWD,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
João Cavaco Cancelo,DEF,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
Nico O'Reilly,MID,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
Issa Kaboré,DEF,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Wright,MID,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Wilson-Esbrand,DEF,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
Divin Mubama,FWD,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Alleyne,DEF,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
Spike Brits,GKP,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Murphy,DEF,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Hayden,MID,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
Garang Kuol,MID,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaal Lascelles,DEF,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Lewis,DEF,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
Odysseas Vlachodimos,GKP,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
John Ruddy,GKP,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe White,MID,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
Miodrag Pivaš,DEF,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Bowler,MID,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Miguel dos Santos Pereira,GKP,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Dennis,FWD,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Mighten,MID,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar Richards,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis O'Brien,MID,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Omobamidele,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Panzo,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
Hwang Ui-jo,FWD,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Worrall,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Abbott,DEF,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0
