id,name,now_cost,position,team,selected_by_percent,goals_scored,yellow_cards,saves_per_90,direct_freekicks_order,transfers_in,penalties_missed,chance_of_playing_next_round,cost_change_start_fall,cost_change_event_fall,points_per_game_rank_type,penalties_saved,influence,threat,expected_goal_involvements,starts_per_90,selected_rank,ep_next,dreamteam_count,creativity,can_select,cost_change_start,value_form,now_cost_rank,form_rank_type,expected_assists,cost_change_event,in_dreamteam,expected_goals_per_90,creativity_rank,red_cards,points_per_game_rank,chance_of_playing_this_round,starts,clean_sheets,selected_rank_type,expected_goals_conceded,expected_assists_per_90,bonus,threat_rank_type,threat_rank,form,transfers_out,ict_index,creativity_rank_type,clean_sheets_per_90,total_points,expected_goal_involvements_per_90,transfers_out_event,ict_index_rank,now_cost_rank_type,expected_goals,ict_index_rank_type,form_rank,influence_rank,ep_this,own_goals,region,value_season,saves,team_join_date,transfers_in_event,status,minutes,bps,event_points,points_per_game,penalties_order,news_added,goals_conceded_per_90,influence_rank_type,expected_goals_conceded_per_90,news,corners_and_indirect_freekicks_order,goals_conceded,web_name,assists
15,David Raya Martin,5.6,GKP,Arsenal,30.4,0,2,2.45,,2508100,0,100.0,-1,0,9,0,425.6,0.0,0.01,1.0,7,4.0,1,0.0,True,1,0.7,98,6,0.01,0,False,0.0,711,0,57,100.0,20,7,1,17.83,0.0,6,74,711,4.0,2087097,42.6,74,0.35,78,0.0,83814,208,1,0.0,12,54,39,4.5,0,200.0,13.9,49,2024-07-04,26827,a,1800,288,3,3.9,,2024-09-25T21:30:06.211210Z,0.9,12,0.89,,,18,Raya,0
16,Declan Rice,6.2,MID,Arsenal,2.6,1,3,0.0,2.0,221770,0,100.0,3,0,58,0,322.4,153.0,4.48,1.04,118,4.4,0,481.9,True,-3,0.7,60,23,3.2,0,False,0.08,21,1,143,100.0,16,5,38,12.84,0.21,6,83,124,4.4,613007,95.2,17,0.33,52,0.29,9721,55,36,1.28,35,50,100,4.9,0,241.0,8.4,0,2023-07-15,5082,a,1383,296,4,2.9,,2024-12-14T22:30:07.561621Z,1.04,34,0.84,,2.0,16,Rice,3
17,Bukayo Saka,10.2,MID,Arsenal,10.3,5,3,0.0,,5219710,0,0.0,-2,1,4,0,516.2,604.0,9.77,1.14,34,0.0,4,630.0,True,2,0.1,4,151,5.6,-1,True,0.3,3,0,4,0.0,16,6,9,10.52,0.4,16,7,11,0.8,7494166,174.9,3,0.43,107,0.7,83910,6,3,4.17,4,302,13,0.0,0,241.0,10.5,0,2018-11-28,1136,i,1268,435,0,6.7,1.0,2024-12-21T21:30:07.668871Z,0.92,5,0.75,Hamstring injury - Expected back 08 Mar,1.0,13,Saka,11
18,William Saliba,6.3,DEF,Arsenal,29.4,2,2,0.0,,2126272,0,100.0,-3,0,12,0,382.6,89.0,2.66,1.04,8,3.8,2,75.7,True,3,0.6,57,15,0.78,0,False,0.1,251,1,60,100.0,19,7,1,15.19,0.04,6,47,197,3.8,3198488,55.0,67,0.38,74,0.14,90916,148,4,1.88,38,57,57,4.3,0,73.0,11.7,0,2019-07-25,22980,a,1649,315,2,3.9,,2024-10-19T19:30:06.564445Z,0.87,20,0.83,,,16,Saliba,0
20,Thomas Partey,5.0,MID,Arsenal,0.8,2,2,0.0,,266970,0,100.0,0,0,50,0,340.4,120.0,2.53,0.97,226,2.8,0,185.8,True,0,0.6,195,49,1.15,0,False,0.08,126,0,109,100.0,16,4,69,15.97,0.07,5,102,161,2.8,238500,64.9,89,0.24,61,0.15,3795,117,121,1.38,70,112,87,3.3,0,81.0,12.2,0,2020-10-05,2110,a,1491,318,2,3.2,,2024-11-30T22:00:07.258906Z,0.97,27,0.96,,,16,Thomas,3
21,Kieran Tierney,4.3,DEF,Arsenal,0.0,0,0,0.0,,3024,0,100.0,2,0,228,0,0.0,0.0,0.0,0.0,551,0.0,0,0.0,True,-2,0.0,548,212,0.0,0,False,0.0,566,0,583,100.0,0,0,195,0.0,0.0,0,218,539,0.0,5837,0.0,227,0.0,0,0.0,251,576,120,0.0,228,508,577,0.5,0,243.0,0.0,0,2019-08-08,219,a,0,0,0,0.0,,2024-08-12T14:30:04.394338Z,0.0,228,0.0,,,0,Tierney,0
22,Tomiyasu Takehiro,4.8,DEF,Arsenal,0.0,0,0,0.0,,1518,0,0.0,2,0,153,0,0.4,9.0,0.18,0.0,556,0.0,0,0.3,True,-2,0.0,304,237,0.0,0,False,2.7,456,0,445,0.0,0,0,197,0.04,0.0,0,128,368,0.0,7561,1.0,166,0.0,1,2.7,44,470,34,0.18,163,639,487,0.0,0,108.0,0.2,0,2021-08-31,32,i,6,2,0,1.0,,2024-10-18T16:00:06.930143Z,0.0,171,0.6,Knee injury - Unknown return date,,0,Tomiyasu,0
23,Leandro Trossard,6.8,MID,Arsenal,1.7,3,0,0.0,,440594,0,100.0,2,0,55,0,260.2,317.0,4.52,0.97,156,2.6,1,270.8,True,-2,0.4,32,56,1.76,0,False,0.22,72,1,132,100.0,12,5,47,9.32,0.14,5,31,51,2.6,512003,84.7,58,0.4,61,0.36,14338,71,15,2.76,45,128,151,3.1,0,21.0,9.0,0,2023-01-20,2481,a,1112,235,2,3.0,4.0,2024-11-21T08:30:08.540890Z,0.97,57,0.75,,4.0,12,Trossard,3
24,Benjamin White,6.1,DEF,Arsenal,2.2,0,2,0.0,,145665,0,0.0,4,0,37,0,128.4,29.0,0.45,0.91,130,0.0,0,55.3,True,-4,0.0,72,243,0.32,0,False,0.02,281,0,131,0.0,7,3,51,9.87,0.04,0,100,305,0.0,973081,21.3,78,0.39,27,0.06,3791,311,5,0.13,103,705,272,0.0,0,241.0,4.4,0,2021-07-30,92,i,694,112,0,3.0,,2024-11-14T13:00:07.861117Z,0.91,101,1.28,Knee injury - Unknown return date,,7,White,1
25,Oleksandr Zinchenko,4.8,DEF,Arsenal,0.9,0,1,0.0,,89591,0,100.0,2,0,65,0,22.2,21.0,0.14,0.77,212,0.2,0,23.2,True,-2,0.0,299,139,0.08,0,False,0.02,347,0,210,100.0,2,2,83,1.73,0.03,0,110,325,0.2,306474,6.7,114,0.77,16,0.05,1252,394,33,0.06,131,391,410,0.7,0,225.0,3.3,0,2022-07-22,643,a,235,63,0,2.3,,2024-12-09T09:30:06.099861Z,0.0,146,0.66,,,0,Zinchenko,0
