id,name,now_cost,position,team,selected_by_percent,goals_scored,yellow_cards,saves_per_90,direct_freekicks_order,transfers_in,penalties_missed,chance_of_playing_next_round,cost_change_start_fall,cost_change_event_fall,points_per_game_rank_type,penalties_saved,influence,threat,expected_goal_involvements,starts_per_90,selected_rank,ep_next,dreamteam_count,creativity,can_select,cost_change_start,value_form,now_cost_rank,form_rank_type,expected_assists,cost_change_event,in_dreamteam,expected_goals_per_90,creativity_rank,red_cards,points_per_game_rank,chance_of_playing_this_round,starts,clean_sheets,selected_rank_type,expected_goals_conceded,expected_assists_per_90,bonus,threat_rank_type,threat_rank,form,transfers_out,ict_index,creativity_rank_type,clean_sheets_per_90,total_points,expected_goal_involvements_per_90,transfers_out_event,ict_index_rank,now_cost_rank_type,expected_goals,ict_index_rank_type,form_rank,influence_rank,ep_this,own_goals,region,value_season,saves,team_join_date,transfers_in_event,status,minutes,bps,event_points,points_per_game,penalties_order,news_added,goals_conceded_per_90,influence_rank_type,expected_goals_conceded_per_90,news,corners_and_indirect_freekicks_order,goals_conceded,web_name,assists
131,Tariq Lamptey,4.4,DEF,Brighton,0.4,2,0,0.0,,66693,0,100.0,1,0,19,0,138.6,31.0,0.46,1.04,276,1.6,1,48.3,True,-1,0.4,501,64,0.21,0,False,0.06,295,0,86,100.0,4,0,103,6.58,0.05,1,94,294,1.6,49850,21.8,88,0.0,24,0.11,2944,307,100,0.25,100,199,259,1.1,0,81.0,5.5,0,2020-01-31,2888,a,347,55,0,3.4,,2024-11-13T14:00:07.816484Z,2.85,96,1.71,,,11,Lamptey,2
132,Solly March,6.5,MID,Brighton,0.0,0,0,0.0,,2535,0,100.0,0,0,223,0,1.0,4.0,0.07,0.0,609,0.2,0,0.0,True,0,0.0,41,188,0.0,0,False,3.15,715,0,465,100.0,0,0,258,0.0,0.0,0,214,404,0.2,1738,0.5,321,0.0,1,3.15,302,481,22,0.07,226,403,485,-0.3,0,241.0,0.2,0,2012-07-01,761,a,2,4,0,1.0,,2024-07-17T13:30:04.993410Z,0.0,227,0.0,,,0,March,0
133,Adrian Mazilu,4.5,MID,Brighton,0.0,0,0,0.0,,720,0,0.0,0,0,288,0,0.0,0.0,0.0,0.0,645,0.0,0,0.0,False,0,0.0,448,252,0.0,0,False,0.0,652,0,663,0.0,0,0,279,0.0,0.0,0,281,637,0.0,4021,0.0,286,0.0,0,0.0,13,657,282,0.0,285,608,658,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-29T11:08:43.963582Z,0.0,286,0.0,Has joined Vitesse Arnhem on loan for the rest of the season,,0,Mazilu,0
134,James Milner,5.0,MID,Brighton,0.0,0,1,0.0,,4643,0,25.0,0,0,140,0,28.6,12.0,0.31,1.6,548,0.0,0,66.3,True,0,0.0,185,292,0.15,0,False,0.09,261,0,312,25.0,3,1,217,1.98,0.08,0,189,357,0.0,10495,10.7,162,0.53,5,0.17,47,364,115,0.16,178,669,397,-0.1,0,241.0,1.0,0,2023-07-01,16,d,169,24,0,1.7,,2024-08-31T21:00:04.655035Z,0.53,183,1.05,Hamstring injury - 25% chance of playing,,1,Milner,0
135,Yankuba Minteh,5.0,MID,Brighton,0.4,2,3,0.0,,258846,0,100.0,5,1,92,0,143.2,171.0,3.24,0.86,287,1.0,0,179.2,True,-5,0.2,231,136,1.8,-1,False,0.21,129,0,215,100.0,6,1,90,9.08,0.26,0,77,116,1.0,357239,49.5,91,0.14,34,0.47,1034,177,148,1.44,98,275,257,0.5,0,78.0,6.8,0,2024-07-01,447,a,630,123,0,2.3,,2024-10-19T22:30:05.622192Z,1.43,111,1.3,,5.0,10,Minteh,2
136,Mitoma Kaoru,6.4,MID,Brighton,5.3,3,0,0.0,,1940882,0,100.0,1,0,37,0,318.0,498.0,7.05,0.97,72,1.8,0,412.3,True,-1,0.3,52,92,3.0,0,False,0.23,33,0,84,100.0,17,3,21,25.28,0.17,6,11,21,1.8,1795162,122.8,26,0.17,70,0.4,43339,20,30,4.05,15,195,105,1.3,0,108.0,10.9,0,2021-08-09,12630,a,1572,292,1,3.5,,2024-12-03T12:30:08.039613Z,1.37,37,1.45,,,24,Mitoma,3
137,Jakub Moder,4.4,MID,Brighton,0.7,0,0,0.0,,172645,0,,1,0,191,0,15.8,2.0,0.53,0.0,240,0.2,0,36.0,True,-1,0.0,504,176,0.53,0,False,0.0,312,0,421,,0,0,75,0.26,5.96,0,218,416,0.2,147835,5.4,180,0.0,3,5.96,2859,416,302,0.0,199,380,431,-0.3,0,172.0,0.7,0,2020-10-05,980,a,8,14,0,1.0,,,0.0,200,2.92,,,0,Moder,0
138,Mark O’Mahony,4.5,FWD,Brighton,0.2,0,0,0.0,,31158,0,0.0,0,0,61,0,0.0,0.0,0.0,0.0,338,0.0,0,0.0,False,0,0.0,455,53,0.0,0,False,0.0,658,0,668,0.0,0,0,54,0.0,0.0,0,59,643,0.0,71251,0.0,59,0.0,0,0.0,345,663,73,0.0,59,614,664,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-30T10:16:16.061223Z,0.0,59,0.0,Season long to Portsmouth,,0,O’Mahony,0
139,Odeluga Offiah,4.0,DEF,Brighton,0.1,0,0,0.0,,2639,0,0.0,0,0,187,0,0.0,0.0,0.0,0.0,502,0.0,0,0.0,False,0,0.0,635,165,0.0,0,False,0.0,505,0,531,0.0,0,0,180,0.0,0.0,0,172,470,0.0,13211,0.0,185,0.0,0,0.0,63,525,179,0.0,188,447,526,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-31T06:26:46.238644Z,0.0,188,0.0,Loaned to Blackpool,,0,Offiah,0
140,Cameron Peupion,4.4,MID,Brighton,0.1,0,0,0.0,,9587,0,,1,0,238,0,0.0,0.0,0.0,0.0,481,0.0,0,0.0,True,-1,0.0,513,195,0.0,0,False,0.0,582,0,595,,0,0,178,0.0,0.0,0,228,561,0.0,9521,0.0,236,0.0,0,0.0,353,588,305,0.0,234,529,589,-0.5,0,13.0,0.0,0,2022-08-23,404,a,0,0,0,0.0,,,0.0,235,0.0,,,0,Peupion,0
141,Jeremy Sarmiento Morante,4.9,MID,Brighton,0.0,0,0,0.0,,354,0,0.0,1,0,212,0,0.2,0.0,0.0,0.0,652,0.0,0,0.8,False,-1,0.0,267,285,0.0,0,False,0.0,444,0,450,0.0,0,0,284,0.0,0.0,0,301,677,0.0,2926,0.1,225,0.0,1,0.0,8,490,175,0.0,230,660,490,0.0,0,,0.2,0,,0,u,8,3,0,1.0,,2024-08-31T06:27:42.007071Z,0.0,230,0.0,Loaned to Burnley,,0,Sarmiento,0
142,Jason Steele,4.1,GKP,Brighton,1.0,0,0,1.5,,295789,0,,4,0,5,0,40.4,0.0,0.0,1.0,206,0.0,0,0.0,True,-4,0.0,592,61,0.0,0,False,0.0,551,0,30,,2,1,29,1.88,0.0,1,36,521,0.0,315936,4.1,48,0.5,9,0.0,2896,427,40,0.0,34,494,381,-0.5,0,241.0,2.2,3,2018-07-01,1553,a,180,46,0,4.5,,,0.5,34,0.94,,,1,Steele,0
143,Deniz Undav,5.5,FWD,Brighton,0.0,0,0,0.0,,0,0,0.0,0,0,75,0,0.0,0.0,0.0,0.0,682,0.0,0,0.0,False,0,0.0,115,72,0.0,0,False,0.0,709,0,711,0.0,0,0,78,0.0,0.0,0,75,709,0.0,1452,0.0,75,0.0,0,0.0,2,711,34,0.0,75,701,711,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-10T12:18:55.962223Z,0.0,75,0.0,Transferred to Stuttgart,,0,Undav,0
144,Jan Paul van Hecke,4.5,DEF,Brighton,0.9,0,4,0.0,,196111,0,100.0,0,0,60,0,378.0,78.0,1.4,1.01,214,3.0,1,148.7,True,0,0.7,399,30,0.79,0,False,0.04,153,0,198,100.0,17,3,84,22.93,0.05,3,56,216,3.0,149192,60.5,30,0.18,43,0.09,3581,130,72,0.61,31,98,59,2.5,0,152.0,9.6,0,2020-09-10,6263,a,1520,220,2,2.4,,2024-09-29T22:30:06.452903Z,1.24,21,1.36,,,21,Van Hecke,1
145,Joël Veltman,4.4,DEF,Brighton,1.9,0,3,0.0,,617849,0,100.0,1,1,27,0,198.8,21.0,1.24,1.05,140,2.0,1,86.7,True,-1,0.5,478,51,1.11,-1,False,0.01,230,0,114,100.0,14,4,55,17.21,0.08,7,108,321,2.0,554286,30.8,58,0.3,44,0.09,5739,255,83,0.13,80,162,204,1.5,0,152.0,10.0,0,2020-07-29,3397,a,1199,197,1,3.1,,2024-11-30T01:00:07.662889Z,1.05,78,1.29,,,14,Veltman,0
146,Bart Verbruggen,4.5,GKP,Brighton,2.9,0,2,2.94,,535610,0,100.0,0,0,22,0,486.2,0.0,0.0,1.0,112,3.4,1,0.0,True,0,0.8,407,7,0.0,0,False,0.0,623,0,136,100.0,18,3,17,28.56,0.0,4,61,607,3.4,301860,48.7,67,0.17,52,0.0,10888,183,18,0.0,8,68,21,2.9,0,152.0,11.6,53,2023-07-03,27013,a,1620,205,2,2.9,,2024-08-12T14:30:04.523944Z,1.56,7,1.59,,,28,Verbruggen,0
147,Adam Webster,4.3,DEF,Brighton,0.1,0,0,0.0,,3368,0,100.0,2,0,170,0,35.4,19.0,0.06,1.76,501,0.2,0,2.8,True,-2,0.0,541,131,0.04,0,False,0.02,427,0,492,100.0,2,0,179,4.12,0.04,0,113,331,0.2,10788,5.7,152,0.0,2,0.06,55,411,115,0.02,139,374,392,-0.3,0,241.0,0.5,0,2019-08-03,236,a,102,13,1,0.5,,2024-12-23T14:30:07.986462Z,3.53,139,3.64,,,4,Webster,0
148,Danny Welbeck,5.5,FWD,Brighton,5.9,6,1,0.0,1.0,3690578,0,100.0,0,0,8,0,293.0,370.0,6.01,1.05,65,0.0,1,173.8,True,0,0.0,102,71,0.44,0,False,0.45,134,0,16,0.0,13,5,15,20.73,0.04,13,17,40,0.0,3493932,83.7,13,0.41,69,0.49,48576,74,29,5.57,18,698,122,0.0,0,241.0,12.5,0,2020-10-18,1837,a,1111,247,0,4.9,3.0,2024-12-16T09:30:06.558564Z,1.3,17,1.68,,,16,Welbeck,2
149,Mats Wieffer,4.7,MID,Brighton,0.1,1,2,0.0,,16089,0,25.0,3,0,95,0,144.0,57.0,0.68,0.78,483,0.5,0,80.3,True,-3,0.4,335,75,0.18,0,False,0.1,241,0,221,25.0,4,1,180,9.7,0.03,3,139,251,2.0,19715,27.8,151,0.19,28,0.13,523,274,216,0.5,139,167,256,0.4,0,152.0,6.0,0,2024-07-06,44,d,464,104,0,2.2,,2024-12-21T22:00:08.030972Z,2.33,110,1.88,Thigh injury - 25% chance of playing,,12,Wieffer,2
595,Brajan Gruda,5.4,MID,Brighton,0.0,0,0,0.0,,1606,0,100.0,1,0,177,0,50.4,88.0,0.76,1.14,586,1.6,0,115.8,True,-1,0.3,138,99,0.49,0,False,0.08,195,0,369,100.0,4,1,242,5.49,0.14,0,117,201,1.6,3998,25.4,124,0.28,13,0.22,62,287,83,0.27,144,210,367,1.1,0,80.0,2.4,0,2024-08-14,109,a,317,43,1,1.3,,2024-11-30T01:00:08.395710Z,2.27,172,1.56,,,8,Gruda,0
600,Yasin Ayari,5.0,MID,Brighton,0.0,0,3,0.0,,4976,0,100.0,0,0,143,0,174.6,149.0,2.45,0.98,560,1.4,0,273.2,True,0,0.3,224,104,1.13,0,False,0.12,70,0,315,100.0,11,4,224,16.4,0.1,0,87,130,1.4,4749,59.6,56,0.36,29,0.22,128,135,142,1.32,80,223,230,0.9,0,206.0,5.8,0,2023-01-30,159,a,1010,156,2,1.7,,2024-12-03T12:30:09.025260Z,1.16,97,1.46,,3.0,13,Ayari,0
601,Andrew Moran,5.0,MID,Brighton,0.0,0,0,0.0,,24,0,0.0,0,0,314,0,0.0,0.0,0.0,0.0,697,0.0,0,0.0,False,0,0.0,225,302,0.0,0,False,0.0,700,0,703,0.0,0,0,309,0.0,0.0,0,311,695,0.0,518,0.0,313,0.0,0,0.0,1,703,143,0.0,314,682,703,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-20T12:19:09.002604Z,0.0,314,0.0,Loaned to Stoke City,,0,Moran,0
615,Carl Rushworth,4.0,GKP,Brighton,0.0,0,0,0.0,,6698,0,0.0,0,0,63,0,0.0,0.0,0.0,0.0,538,0.0,0,0.0,False,0,0.0,643,57,0.0,0,False,0.0,513,0,539,0.0,0,0,68,0.0,0.0,0,31,478,0.0,7485,0.0,44,0.0,0,0.0,97,533,61,0.0,63,455,534,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-31T06:28:38.039682Z,0.0,63,0.0,Loaned to Hull City,,0,Rushworth,0
618,Georginio Rutter,5.2,MID,Brighton,0.6,2,2,0.0,,314434,0,100.0,3,0,54,0,176.6,245.0,3.78,1.08,250,1.4,1,169.2,True,-3,0.3,165,107,1.01,0,False,0.23,137,0,129,100.0,13,4,77,19.84,0.08,1,44,71,1.4,265138,57.9,95,0.33,57,0.31,6216,138,100,2.77,83,227,228,0.9,0,73.0,11.0,0,2024-08-19,938,a,1079,158,1,3.0,,2024-10-12T11:00:07.563830Z,1.5,95,1.65,,,18,Georginio,4
628,Ferdi Kadioglu,4.5,DEF,Brighton,0.1,1,1,0.0,,73711,0,0.0,0,0,23,0,116.4,40.0,0.75,1.17,421,0.0,0,83.7,True,0,0.0,374,229,0.31,0,False,0.1,237,0,105,0.0,5,2,151,9.44,0.07,0,83,274,0.0,67835,24.0,61,0.47,19,0.17,1099,292,65,0.44,92,551,283,0.0,0,219.0,4.2,0,2024-08-27,27,i,385,59,0,3.2,,2024-11-10T01:30:09.967684Z,1.87,105,2.21,Toe Injury - Unknown return date,,8,F.Kadıoğlu,0
629,Matt O'Riley,5.5,MID,Brighton,0.1,1,1,0.0,,16623,0,100.0,0,0,118,0,78.6,98.0,2.07,1.03,522,1.0,0,117.0,True,0,0.2,108,138,1.01,0,False,0.27,192,0,266,100.0,4,1,202,5.09,0.26,2,109,187,1.0,13172,29.4,121,0.26,16,0.53,484,264,66,1.06,135,277,332,0.5,1,58.0,2.9,0,2024-08-26,343,a,349,81,1,2.0,,2024-12-16T09:30:07.550940Z,1.81,156,1.31,,1.0,7,O'Riley,0
663,Imari Samuels,4.0,DEF,Brighton,0.0,0,0,0.0,,5171,0,,0,0,188,0,0.0,0.0,0.0,0.0,539,0.0,0,0.0,True,0,0.0,636,166,0.0,0,False,0.0,506,0,532,,0,0,191,0.0,0.0,0,173,471,0.0,3688,0.0,186,0.0,0,0.0,163,526,180,0.0,189,448,527,-0.5,0,241.0,0.0,0,2023-05-17,156,a,0,0,0,0.0,,,0.0,189,0.0,,,0,Samuels,0
668,Killian Cahill,3.9,GKP,Brighton,1.3,0,0,0.0,,174380,0,,1,0,48,0,0.0,0.0,0.0,0.0,189,0.0,0,0.0,True,-1,0.0,715,40,0.0,0,False,0.0,478,0,510,,0,0,27,0.0,0.0,0,11,440,0.0,48208,0.0,24,0.0,0,0.0,3961,503,74,0.0,48,420,504,-0.5,0,104.0,0.0,0,2024-08-24,1762,a,0,0,0,0.0,,,0.0,48,0.0,,,0,Cahill,0
681,Ruairi McConville,4.0,DEF,Brighton,0.0,0,0,0.0,,1046,0,,0,0,204,0,0.0,0.0,0.0,0.0,638,0.0,0,0.0,True,0,0.0,665,183,0.0,0,False,0.0,529,0,555,,0,0,217,0.0,0.0,0,192,497,0.0,683,0.0,202,0.0,0,0.0,90,548,202,0.0,204,472,549,-0.5,0,242.0,0.0,0,2024-11-22,85,a,0,0,0,0.0,,,0.0,204,0.0,,,0,McConville,0
685,Jacob Slater,4.0,DEF,Brighton,0.0,0,0,0.0,,950,0,,0,0,215,0,0.0,0.0,0.0,0.0,644,0.0,0,0.0,True,0,0.0,678,194,0.0,0,False,0.0,540,0,566,,0,0,219,0.0,0.0,0,203,508,0.0,633,0.0,213,0.0,0,0.0,69,559,215,0.0,215,483,560,-0.5,0,241.0,0.0,0,2024-11-28,106,a,0,0,0,0.0,,,0.0,215,0.0,,,0,Slater,0
714,Diego Gómez,5.5,MID,Brighton,0.0,0,0,0.0,,76,0,25.0,0,0,319,0,0.0,0.0,0.0,0.0,715,0.5,0,0.0,True,0,0.0,119,314,0.0,0,False,0.0,710,0,712,,0,0,320,0.0,0.0,0,318,710,0.0,19,0.0,318,0.0,0,0.0,19,712,72,0.0,319,702,712,1.6,0,168.0,0.0,0,2025-01-01,76,d,0,0,0,0.0,,2025-01-09T16:30:09.168224Z,0.0,319,0.0,Lack of match fitness - 25% chance of playing,,0,Gómez,0
150,Andrey Nascimento dos Santos,4.5,MID,Chelsea,0.0,0,0,0.0,,0,0,0.0,0,0,281,0,0.0,0.0,0.0,0.0,695,0.0,0,0.0,False,0,0.0,441,245,0.0,0,False,0.0,645,0,656,0.0,0,0,307,0.0,0.0,0,274,630,0.0,606,0.0,279,0.0,0,0.0,0,650,275,0.0,278,601,651,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-05T10:16:34.176364Z,0.0,279,0.0,Has joined Strasbourg on a season-long loan,,0,Andrey Santos,0
151,Ângelo Gabriel Borges Damaceno,4.5,MID,Chelsea,0.1,0,0,0.0,,5940,0,0.0,0,0,275,0,0.0,0.0,0.0,0.0,431,0.0,0,0.0,False,0,0.0,432,239,0.0,0,False,0.0,638,0,649,0.0,0,0,156,0.0,0.0,0,267,622,0.0,29365,0.0,273,0.0,0,0.0,160,642,268,0.0,271,593,643,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-09-05T10:38:18.297070Z,0.0,272,0.0,Transferred to Al-Nassr,,0,Ângelo,0
153,Benoît Badiashile,4.3,DEF,Chelsea,0.1,0,0,0.0,,11943,0,0.0,2,0,123,0,48.2,0.0,0.06,0.73,452,0.0,0,8.8,True,-2,0.0,560,214,0.06,0,False,0.0,407,0,373,0.0,2,0,164,4.63,0.02,0,221,542,0.0,20299,5.7,137,0.0,5,0.02,327,412,130,0.0,140,511,373,0.0,0,73.0,1.2,0,2023-01-05,13,i,247,22,0,1.2,,2024-12-16T10:30:07.655172Z,1.46,131,1.69,Unknown - Expected back 14 Feb,,4,B.Badiashile,0
154,Lucas Bergström,3.9,GKP,Chelsea,0.3,0,0,0.0,,20213,0,,1,0,47,0,0.0,0.0,0.0,0.0,318,0.5,0,0.0,True,-1,0.0,709,39,0.0,0,False,0.0,474,0,508,,0,0,49,0.0,0.0,0,9,435,0.0,20113,0.0,22,0.0,0,0.0,621,500,72,0.0,47,415,501,0.5,0,72.0,0.0,0,2021-07-27,900,a,0,0,0,0.0,,,0.0,47,0.0,,,0,Bergström,0
155,Marcus Bettinelli,3.9,GKP,Chelsea,0.4,0,0,0.0,,30113,0,,1,0,41,0,0.0,0.0,0.0,0.0,274,0.5,0,0.0,True,-1,0.0,694,33,0.0,0,False,0.0,466,0,500,,0,0,43,0.0,0.0,0,3,427,0.0,26136,0.0,16,0.0,0,0.0,1004,492,66,0.0,41,406,493,0.5,0,241.0,0.0,0,2021-07-28,738,a,0,0,0,0.0,,,0.0,41,0.0,,,0,Bettinelli,0
157,Moisés Caicedo Corozo,4.9,MID,Chelsea,1.3,1,4,0.0,,259972,0,,1,0,56,0,382.0,59.0,2.16,1.01,186,2.5,0,338.2,True,-1,0.4,274,79,1.63,0,False,0.03,51,0,138,,20,5,57,27.39,0.08,2,137,245,2.0,215674,78.0,39,0.25,57,0.11,9081,86,180,0.53,54,171,58,2.5,0,62.0,11.6,0,2023-08-14,5413,a,1775,346,2,2.9,,,1.17,16,1.39,,,23,Caicedo,3
158,Cesare Casadei,4.4,MID,Chelsea,0.1,0,0,0.0,,22555,0,,1,0,240,0,0.0,0.0,0.0,0.0,419,0.5,0,0.0,True,-1,0.0,516,198,0.0,0,False,0.0,584,0,597,,0,0,149,0.0,0.0,0,230,563,0.0,26100,0.0,238,0.0,0,0.0,613,590,308,0.0,236,532,591,0.5,0,106.0,0.0,0,2022-08-19,493,a,0,0,0,0.0,,,0.0,237,0.0,,,0,Casadei,0
160,Ben Chilwell,4.7,DEF,Chelsea,0.5,0,0,0.0,,39796,0,,3,0,243,0,0.0,0.0,0.0,0.0,260,0.5,0,0.0,True,-3,0.0,330,235,0.0,0,False,0.0,671,0,680,,0,0,97,0.0,0.0,0,240,657,0.0,93681,0.0,243,0.0,0,0.0,1725,676,44,0.0,243,630,676,0.5,0,241.0,0.0,0,2020-08-26,785,a,0,0,0,0.0,,,0.0,243,0.0,,,0,Chilwell,0
161,Carney Chukwuemeka,4.8,MID,Chelsea,0.0,0,0,0.0,,4528,0,100.0,2,0,302,0,0.0,0.0,0.0,0.0,530,0.5,0,0.0,True,-2,0.0,318,275,0.0,0,False,0.0,678,0,685,100.0,0,0,207,0.0,0.0,0,297,668,0.0,7812,0.0,301,0.0,0,0.0,112,683,206,0.0,301,645,683,0.5,0,241.0,0.0,0,2022-08-04,93,a,0,0,0,0.0,,2024-10-04T12:30:06.437566Z,0.0,301,0.0,,,0,Chukwuemeka,0
162,Levi Colwill,4.6,DEF,Chelsea,5.1,0,5,0.0,,915673,0,100.0,-1,0,61,0,376.6,59.0,1.45,1.0,77,3.1,0,121.1,True,1,0.6,352,38,1.07,0,False,0.02,183,0,199,100.0,19,4,27,26.53,0.06,1,71,244,2.6,477250,55.7,42,0.21,46,0.08,23418,146,52,0.38,37,122,61,3.1,0,241.0,10.0,0,2022-07-01,9749,a,1710,226,1,2.4,,2024-11-12T14:30:07.619476Z,1.21,22,1.4,,,23,Colwill,1
163,Marc Cucurella Saseta,5.2,DEF,Chelsea,6.9,1,6,0.0,,972391,0,100.0,-2,0,49,0,247.8,98.0,1.88,1.0,57,2.3,1,160.8,True,2,0.3,160,60,1.45,0,False,0.03,143,1,174,100.0,16,3,19,21.43,0.09,2,43,186,1.8,953048,50.7,29,0.19,46,0.12,30280,171,19,0.43,47,191,162,2.3,0,200.0,8.8,0,2022-08-05,17299,a,1445,213,2,2.6,,2024-12-16T09:30:06.586582Z,1.18,60,1.33,,,19,Cucurella,2
164,David Datro Fofana,5.4,FWD,Chelsea,0.1,0,0,0.0,,4727,0,0.0,1,0,74,0,0.0,0.0,0.0,0.0,498,0.0,0,0.0,False,-1,0.0,139,70,0.0,0,False,0.0,708,0,710,0.0,0,0,67,0.0,0.0,0,74,707,0.0,15090,0.0,74,0.0,0,0.0,38,710,41,0.0,74,697,710,0.0,0,54.0,0.0,0,,0,u,0,0,0,0.0,,2024-09-11T14:26:52.770225Z,0.0,74,0.0,Transferred to AEK Athens,,0,D.D.Fofana,0
165,Deivid Washington de Souza Eugênio,4.9,FWD,Chelsea,0.1,0,0,0.0,,15595,0,,1,0,70,0,0.0,0.0,0.0,0.0,404,0.5,0,0.0,True,-1,0.0,282,62,0.0,0,False,0.0,687,0,693,,0,0,61,0.0,0.0,0,69,681,0.0,19610,0.0,68,0.0,0,0.0,440,692,58,0.0,69,667,692,0.5,0,30.0,0.0,0,2023-08-24,269,a,0,0,0,0.0,,,0.0,69,0.0,,,0,Deivid,0
166,Kiernan Dewsbury-Hall,5.5,MID,Chelsea,0.1,0,0,0.0,,6544,0,0.0,5,0,218,0,9.4,0.0,0.05,0.0,436,0.0,0,15.3,True,-5,0.0,107,313,0.05,0,False,0.0,374,0,460,0.0,0,0,158,1.13,0.08,0,317,708,0.0,26266,2.5,206,0.0,5,0.08,349,442,65,0.0,212,700,448,0.0,0,241.0,0.9,0,2024-07-02,19,i,56,15,0,1.0,,2024-12-29T08:30:08.647462Z,3.21,210,1.82,Unknown - Unknown return date,,2,Dewsbury-Hall,0
167,Axel Disasi,4.2,DEF,Chelsea,0.4,1,1,0.0,,63188,0,,3,0,7,0,84.8,36.0,0.38,1.03,278,1.7,0,33.9,True,-3,0.3,584,75,0.09,0,False,0.07,318,0,42,,4,2,105,6.07,0.02,0,87,281,1.2,71335,15.5,102,0.51,21,0.09,3130,343,148,0.29,115,231,326,1.7,0,73.0,5.0,0,2023-08-04,1220,a,350,81,0,4.2,,,0.77,116,1.56,,,3,Disasi,0
168,Enzo Fernández,5.1,MID,Chelsea,8.4,3,3,0.0,3.0,1444027,0,,-1,0,32,0,389.4,224.0,5.77,0.95,42,2.9,1,519.6,True,1,0.5,183,59,3.54,0,False,0.14,16,0,78,,15,3,11,19.89,0.22,5,50,79,2.4,731188,113.5,14,0.19,66,0.36,140697,27,113,2.23,20,136,54,2.9,0,10.0,12.9,0,2023-01-31,12962,a,1417,346,1,3.5,4.0,,1.21,14,1.26,,3.0,19,Enzo,4
169,Conor Gallagher,5.9,MID,Chelsea,0.1,0,0,0.0,,1567,0,0.0,1,0,320,0,0.0,0.0,0.0,0.0,413,0.0,0,0.0,False,-1,0.0,84,315,0.0,0,False,0.0,712,0,713,0.0,0,0,145,0.0,0.0,0,319,712,0.0,72303,0.0,319,0.0,0,0.0,74,713,55,0.0,320,703,713,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-22T11:20:34.236891Z,0.0,320,0.0,Transferred to Atletico Madrid,,0,Gallagher,0
170,Alfie Gilchrist,4.0,DEF,Chelsea,0.0,0,0,0.0,,0,0,0.0,0,0,198,0,0.0,0.0,0.0,0.0,565,0.0,0,0.0,False,0,0.0,654,176,0.0,0,False,0.0,521,0,548,0.0,0,0,200,0.0,0.0,0,184,488,0.0,7232,0.0,195,0.0,0,0.0,46,541,192,0.0,198,464,542,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-09T11:15:16.064928Z,0.0,198,0.0,Has joined Sheffield United on a season-long,,0,Gilchrist,0
171,Malo Gusto,4.9,DEF,Chelsea,2.0,0,3,0.0,,312908,0,100.0,1,0,104,0,218.0,107.0,2.35,1.02,135,2.7,0,231.2,True,-1,0.4,272,47,1.12,0,False,0.09,96,0,311,100.0,14,1,53,19.22,0.08,0,34,175,2.2,432855,55.8,19,0.07,29,0.17,9948,143,29,1.23,35,151,185,2.7,0,73.0,5.9,0,2023-01-28,5190,a,1238,144,2,1.7,,2024-11-13T09:30:07.704412Z,1.31,73,1.4,,,18,Gusto,1
172,Reece James,4.8,DEF,Chelsea,0.2,0,0,0.0,2.0,79737,0,100.0,2,0,124,0,38.2,0.0,0.22,1.12,374,0.5,0,23.2,True,-2,0.0,306,238,0.22,0,False,0.0,348,0,379,100.0,3,0,131,5.78,0.08,0,241,664,0.0,83087,6.2,115,0.0,5,0.08,844,402,35,0.0,136,641,384,0.5,0,241.0,1.0,0,2019-05-15,1611,a,240,32,0,1.2,,2024-11-21T14:00:08.020459Z,1.5,136,2.17,,2.0,4,James,0
173,Omari Kellyman,4.4,MID,Chelsea,0.0,0,0,0.0,,3119,0,0.0,1,0,242,0,0.0,0.0,0.0,0.0,591,0.0,0,0.0,True,-1,0.0,519,200,0.0,0,False,0.0,586,0,599,0.0,0,0,246,0.0,0.0,0,232,565,0.0,5736,0.0,240,0.0,0,0.0,69,592,311,0.0,238,534,593,0.0,0,241.0,0.0,0,2024-06-29,37,i,0,0,0,0.0,,2024-09-08T23:00:06.668188Z,0.0,239,0.0,Hamstring injury - Unknown return date,,0,Kellyman,0
174,Roméo Lavia,4.5,MID,Chelsea,0.5,0,3,0.0,,187421,0,100.0,0,0,136,0,88.2,5.0,0.47,1.33,253,0.5,0,94.3,True,0,0.0,428,235,0.29,0,False,0.03,215,0,307,50.0,7,1,79,9.99,0.05,0,208,393,0.0,245885,18.8,135,0.19,15,0.08,3021,325,264,0.18,161,589,323,0.2,0,21.0,3.3,0,2023-08-18,338,a,475,81,0,1.7,,2024-12-20T16:45:59.176104Z,1.71,152,1.89,,,9,Lavia,1
